"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Sodervik 2014_1","ES_277","acc_beliefs",45,46,91,"published","random","not_screened",NA,94,16.98,15.43,4.73,5.68,NA,NA,NA,NA,NA
"Sodervik 2014_1","ES_278","acc_beliefs",42,45,87,"published","random","not_screened",NA,94,15.76,15.33,5.1,5.28,NA,NA,NA,NA,NA
"Sodervik 2015_1","ES_279","acc_beliefs",87,84,171,"published","random","not_screened",NA,98,21.52,21.73,5.99,6.6,NA,NA,NA,NA,NA
"Sota2012_1","ES_280","acc_beliefs",51,47,98,"unpublished","random","not_screened",NA,NA,-1.75,-2.32,3.46,3.32,NA,NA,NA,NA,NA
"Sota2012_1","ES_281","acc_beliefs",51,53,104,"unpublished","random","not_screened",NA,NA,-1.75,-2.21,3.46,3.4,NA,NA,NA,NA,NA
"Sota2012_1","ES_282","acc_beliefs",51,47,98,"unpublished","random","not_screened",NA,NA,1.47,1.49,2.96,3.2,NA,NA,NA,NA,NA
"Sota2012_1","ES_283","acc_beliefs",51,53,104,"unpublished","random","not_screened",NA,NA,1.47,1.15,2.96,3.37,NA,NA,NA,NA,NA
"Sota2012_1","ES_284","acc_beliefs",51,47,98,"unpublished","random","not_screened",NA,NA,9.25,9.38,3.42,3.76,NA,NA,NA,NA,NA
"Sota2012_1","ES_285","acc_beliefs",51,53,104,"unpublished","random","not_screened",NA,NA,9.25,9.66,3.42,3.92,NA,NA,NA,NA,NA
"Suma2018_1","ES_286","acc_beliefs",70,72,142,"published","random","not_screened",NA,NA,NA,NA,NA,NA,NA,2.53026239306871,0.0510225214689502,NA,NA
"Tasdelen2008_1","ES_288","acc_beliefs",20,22,42,"published","random","not_screened",NA,NA,28.6,26.159,6.299,10.37,NA,NA,NA,NA,NA
"Tasdelen2008_1","ES_289","acc_beliefs",20,22,42,"published","random","not_screened",NA,NA,39.65,44.341,5.14,4.671,NA,NA,NA,NA,NA
"Trevors 2016_1","ES_296","acc_beliefs",62,58,120,"unpublished","random","not_screened",NA,7,0.84,0.7,0.19,0.2,NA,NA,NA,NA,NA
"Trevors2012_1","ES_290","acc_beliefs",25.5,25.5,51,"unpublished","random","screened",12.55,42,NA,NA,NA,NA,NA,0.694516336148021,0.0856304516291811,NA,NA
"Van Loon 2015_1","ES_300","acc_beliefs",57,57,114,"published","random","not_screened",NA,17.12,88.49,78.94,12,14,NA,NA,NA,NA,NA
"Van Loon 2015_1","ES_301","acc_beliefs",57,57,114,"published","random","not_screened",NA,17.12,61.4,55.37,15,15,NA,NA,NA,NA,NA
"Van Loon 2015_1","ES_302","acc_beliefs",57,57,114,"published","random","not_screened",NA,17.12,20.78,21.33,39,40,NA,NA,NA,NA,NA
"Vaughn 2018_1","ES_304","acc_beliefs",34,30,64,"published","random","not_screened",-5.89,NA,20.33,20.18,2.34,2.65,NA,NA,NA,NA,NA
"Versteeg 2020_1","ES_305","acc_beliefs",80,81,161,"published","non-random","not_screened",NA,49,58.8,57.1,NA,NA,NA,0.048583325392287,0.0250894457926822,NA,NA
"Vilppu2013_1","ES_306","acc_beliefs",45,46,91,"published","random","not_screened",NA,94,16.98,15.43,4.73,5.68,NA,NA,NA,NA,NA
"Wang 1991_1","ES_310","acc_beliefs",35,38,73,"published","random","not_screened",NA,NA,32.23,27.55,6.5,7.1,NA,NA,NA,NA,NA
"Wang 1991_1","ES_311","acc_beliefs",39,34,73,"published","random","not_screened",NA,NA,33.21,34.67,6.3,5.4,NA,NA,NA,NA,NA
"Watanabe 2020_1","ES_312","acc_beliefs",60,60,120,"unpublished","random","not_screened",2.08,9,0.49,0.47,0.17,0.2,NA,NA,NA,NA,NA
"Watanabe 2020_1","ES_313","acc_beliefs",60,60,120,"unpublished","random","not_screened",2.08,9,0.45,0.47,0.17,0.17,NA,NA,NA,NA,NA
"Watanabe 2020_1","ES_314","acc_beliefs",60,60,120,"unpublished","random","not_screened",2.08,9,0.33,0.27,0.21,0.18,NA,NA,NA,NA,NA
"Watanabe 2020_1","ES_315","acc_beliefs",60,60,120,"unpublished","random","not_screened",2.08,9,0.29,0.32,0.17,0.17,NA,NA,NA,NA,NA
"Weingartner 2019_1","ES_316","acc_beliefs",26,24,50,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,0.194976163862678,0.404592720806259,NA,NA
"Weingartner 2019_1","ES_317","acc_beliefs",26,24,50,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,0.990489790108973,0.723852400604974,NA,NA
"Weingartner 2019_1","ES_318","acc_beliefs",26,24,50,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,0.332077418365494,0.600915444900564,NA,NA
"Weingartner 2019_1","ES_319","acc_beliefs",26,24,50,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,-0.284648270677104,0.49060245388006,NA,NA
"Weingartner 2019_1","ES_320","acc_beliefs",23,22,45,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,-0.177219750566179,0.521015257370301,NA,NA
"Weingartner 2019_1","ES_321","acc_beliefs",23,22,45,"published","random","screened",2.03,10,NA,NA,NA,NA,NA,0.242575135996364,0.52119373711296,NA,NA
"Weingartner 2019_1","ES_322","acc_beliefs",26,27,53,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,-0.170831809882297,0.42443331087951,NA,NA
"Weingartner 2019_1","ES_323","acc_beliefs",26,27,53,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,1.84207906798769,0.680832204442251,NA,NA
"Weingartner 2019_1","ES_324","acc_beliefs",26,27,53,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,1.39141622029718,0.519331038714207,NA,NA
"Weingartner 2019_1","ES_325","acc_beliefs",26,27,53,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,0.837282883165725,0.392901402369507,NA,NA
"Weingartner 2019_1","ES_326","acc_beliefs",23,24,47,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,-0.517827956955996,0.577393842863857,NA,NA
"Weingartner 2019_1","ES_327","acc_beliefs",23,24,47,"published","random","screened",2.03,7,NA,NA,NA,NA,NA,0.962243094993127,0.466963119235809,NA,NA
"Yuruk 2016_1","ES_328","acc_beliefs",35,35,70,"published","random","not_screened",NA,NA,15.857,14.485,3.671,4.347,NA,NA,NA,NA,NA
"Yuruk 2016_1","ES_329","acc_beliefs",35,35,70,"published","random","not_screened",NA,NA,19.457,14.485,4.153,4.347,NA,NA,NA,NA,NA
"Yuruk 2016_1","ES_330","acc_beliefs",35,35,70,"published","random","not_screened",NA,NA,19.828,16.942,3.459,3.788,NA,NA,NA,NA,NA
"Yuruk 2016_1","ES_331","acc_beliefs",35,35,70,"published","random","not_screened",NA,NA,23.342,16.942,3.446,3.788,NA,NA,NA,NA,NA
