"...1","Study name","Subgroup within study","Comparison","Outcome","Std diff in means","Std Err...7","Hedges's g","Std Err...9","Difference in means","Std Err...11","Liking","Ownership/attachment","Affect/Emotion","Competence/Accomplishment","3d-Printed","Student sample","Female","Age","Region","Customization","Usage type","Tangible create","Customization_binary","Customization X Tangible","Usage X Tangible","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AT","AU","AV","AW","cluster"
73,"Dohle et al. (2014)",1,104,"Liking",0.52015301170734,0.258259671080013,0.513623894405574,0.25501791788654,0.9,0.439486503884675,0.52,NA,NA,NA,"0","Yes","51.61","24","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dohle et al. (2014)"
74,"Dohle et al. (2016)",1,108,"Liking",0.0407651923454128,0.18259314747213,0.0405055414387541,0.181430133793964,0.730000000000004,3.2694352213596,0.041,NA,NA,NA,"0","Yes","100","26.07","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dohle et al. (2016)"
75,"Troye & Supphellen (2012)",1,155,"Liking",0.18912074608254,0.129387714001681,0.188524150669031,0.128979550866029,NA,NA,0.189,NA,NA,NA,"0","Yes","N/A","N/A","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troye & Supphellen (2012)"
76,"Troye & Supphellen (2012)",2,155,"Liking",0.755520141152993,0.240646801345646,0.747622718074738,0.238131329554576,NA,NA,0.756,NA,NA,NA,"0","Yes","40.54","23","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troye & Supphellen (2012)"
77,"Troye & Supphellen (2012)",3,155,"Liking",0.45234630945048,0.204597878174325,0.448803126869928,0.202995283828312,NA,NA,0.452,NA,NA,NA,"0","Yes","52.04","33","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troye & Supphellen (2012)"
78,"Sarstedt et al. (2016)",1,107,"Valuation",1.63932777944826,0.374998167863432,1.60493628757172,0.367131073432731,1.36,0.269160488224131,NA,NA,3.038,NA,"0","Yes","N/A","N/A","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarstedt et al. (2016)"
79,"Buhren & Plesner (2020) - Study 1",1,122,"Valuation",0.6106634154424,0.146907644624832,0.608274901431544,0.146333038452897,0.38,0.0893580956612443,NA,NA,NA,NA,"0","Yes","52.55","23.31","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buhren & Plesner (2020)"
80,"Buhren & Plesner (2020) - Study 1",2,122,"Valuation",1.20606285777845,0.203635678474728,1.19796847618263,0.202268996068857,1.94,0.301307094029133,NA,NA,NA,NA,"0","Yes","51.75","23.31","West Europe","1","More hedonic","Physical","1","Physical without","Hedonic and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buhren & Plesner (2020)"
81,"Erkin et al. (2018) - Study 3",3,140,"Valuation",-0.159155410758923,0.200316380318408,-0.157934269499903,0.198779425993715,-0.19,0.238760340090225,0.191,0.226,NA,NA,"1","No","26","19.03","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkin et al. (2018)"
82,"Wiecek et al. (2020) - Study 4",4,127,"Liking",0.197433470643588,0.140368736877114,0.196699517221121,0.1398469200114,NA,NA,0.197,NA,NA,NA,"1","No","32.35","29.43","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
83,"Wiecek et al. (2020) - Study 3",3,127,"Liking",0.278140893454906,0.168059196956113,0.276658792779303,0.167163677256525,NA,NA,0.278,NA,NA,NA,"1","No","31.47","24.18","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
84,"Wiecek et al. (2020) - Study 2",2,127,"Liking",0.422732622732834,0.256821496787708,0.417426355501878,0.25359779599121,NA,NA,0.423,NA,NA,NA,"1","Yes","41.13","24.11","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
85,"Wiecek et al. (2020) - Study 2",2,127,"Valuation",0.748762268762643,0.262749803338108,0.739363579196585,0.259451688651855,NA,NA,0.423,NA,NA,NA,"1","Yes","41.13","24.11","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
86,"Wiecek et al. (2020) - Study 1",1,127,"Liking",0.747230040256161,0.208961874428323,0.741377063439533,0.207325097344028,NA,NA,0.747,NA,NA,NA,"1","Yes","37.840000000000003","24.76","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
87,"Wiecek et al. (2020) - Study 1",1,127,"Valuation",0.64996043143614,0.20729610787215,0.644869357560661,0.205672378567669,NA,NA,0.747,NA,NA,NA,"1","Yes","37.840000000000003","24.76","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiecek et al. (2020)"
88,"Erkin et al. (2018) - Study 1",1,140,"Liking",1.08127851155031,0.245905756468262,1.07028245889048,0.243405019961805,1.515,0.32188490501976,1.081,NA,NA,NA,"1","Yes","38.159999999999997","24.78","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkin et al. (2018)"
89,"Erkin et al. (2018) - Study 1",1,140,"Valuation",1.05235018370342,0.245078708240129,1.04164831742847,0.242586382393619,1.125,0.245594021936836,1.081,0.859,NA,NA,"1","Yes","38.159999999999997","24.78","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkin et al. (2018)"
90,"Erkin et al. (2018) - Study 4",4,140,"Valuation",-0.499150497858306,0.201089571539457,-0.495397486596214,0.199577619873747,-0.565,0.224154183630856,1.169,NA,NA,NA,"1","No","50","19.5","West Europe","1","More utalitarian","Digital","1","Digital without","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkin et al. (2018)"
91,"Franke et al. (2009) - Study 1",1,143,"Valuation",0.304941382282147,0.111241699434883,0.304237129667177,0.110984790198313,0.18,0.0652851326101383,NA,NA,NA,NA,"0","No","N/A","N/A","West Europe","2","More utalitarian","Digital","2","Digital with","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke et al. (2009)"
92,"Franke et al. (2009) - Study 2",2,143,"Valuation",0.454672207336177,0.13328091562578,0.453181478787533,0.132843929017171,0.27,0.0781436029618201,NA,NA,NA,NA,"0","No","N/A","N/A","West Europe","2","More utalitarian","Digital","2","Digital with","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke et al. (2009)"
93,"Franke et al. (2009) - Study 2",2,143,"Valuation1",0.496041996585411,0.143579748418574,0.494160674221623,0.143035198171728,16.91,4.82103360286982,NA,NA,NA,NA,"0","No","N/A","N/A","West Europe","2","More utalitarian","Digital","2","Digital with","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke et al. (2009)"
94,"Franke et al. (2009) - Study 2",2,143,"Valuation2",0.783863515898227,0.147491157169927,0.780860207408195,0.146926056950885,924.96,167.7180874822,NA,NA,NA,NA,"0","No","N/A","N/A","West Europe","2","More utalitarian","Digital","2","Digital with","Utalitarian and digital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke et al. (2009)"
95,"Diefenbach et al. (2018)",1,130,"Valuation",0.796454407132957,0.201811835846988,0.790696905394646,0.200352955105925,NA,NA,NA,0.733,NA,NA,"0","Yes","77.3","23.79","West Europe","3","More utalitarian","Physical","2","Physical with","Utalitarian and physical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diefenbach et al. (2018)"
